Complexity,Loss,Equation
1,0.18963765,"-0.23501049"
4,0.14273293,"(0.3355407 - inv(x))"
5,0.13830498,"(-0.9510156 + (x * 0.3745666))"
7,0.13414444,"(pow4(inv(pow4(x))) - inv(x))"
8,0.044945143,"(pow4(inv(pow4(x))) - inv(pow3(x)))"
9,0.035759233,"(pow3(pow3(pow2(inv(x)))) - inv(pow3(x)))"
10,0.0062133814,"((pow4(pow4(inv(x))) - inv(pow4(x))) * 1.9393976)"
11,0.0019196419,"((pow4(pow3(inv(x))) - inv(pow2(pow3(x)))) * 4.030358)"
13,0.0018589639,"((pow4(inv(pow3(x) + 0.0016597142)) - inv(pow3(pow2(x)))) * 4.045447)"
14,0.0017426037,"((pow4(pow3(inv(x))) - inv(pow2(pow3(x)))) * (4.930317 - inv(x)))"
15,0.0015921514,"((((pow4(pow3(inv(x))) * x) - inv(pow2(pow3(x)))) * 4.7103753) - -0.019184817)"
17,0.0015634723,"((pow4(pow2(inv(pow3(x)))) - inv(pow3(pow2(x)))) * ((inv(x) * -8.209006) + 9.606502))"
18,0.0014194155,"((pow4(inv(pow3(x))) - inv(pow3(pow2(x)))) * (4.0182676 - pow4(pow4(inv(x)) - 0.62308633)))"
19,0.0007907431,"(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + pow3(inv(pow3(pow4(x))))) * 0.30607116) + 0.62308633))"
21,0.0006619625,"(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (inv(pow4(pow4(pow3(x)))) * 0.7435166)) * 0.30447322) + 0.6366521))"
23,0.0006272498,"(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (pow3(inv(pow4(pow4(x)))) - inv(pow4(x)))) * 0.30903533) + 0.7873059))"
25,0.00062322395,"(inv(pow4(pow4(x))) - inv(pow2((pow4(x) + (inv((pow2(pow4(pow4(x))) + 0.015542547) - 0.15072764) * 0.7102177)) * 0.30607116) + 0.62308633))"
26,0.0006088531,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2((pow4(x) + (pow2(inv(pow2(pow3(pow4(x))))) - inv(pow4(x)))) * 0.30903533) + 0.7873059))"
27,0.00060885306,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2((pow4(x) + (inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(pow2(x))))) * 0.30903533) + 0.7873059))"
30,0.0006077347,"(inv(pow4(pow4(x)) - (pow4(-0.28274775) * -0.9610514)) - inv(pow2((pow4(x) + (inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(pow2(x))))) * 0.30903533) + 0.7873059))"
32,0.00045535993,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv(pow3(pow4(x) - x) + x))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
34,0.00045348957,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv(1.0032431 * (pow3(pow4(x) - x) + x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
35,0.00045170364,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv(pow2(1.0032431) * (pow3(pow4(x) - x) + x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
36,0.0004400769,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv(1.0032431 * ((pow3(pow4(x) - x) + x) - -0.104950875)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
37,0.0004097454,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv((pow2(pow4(pow4(-0.7936968) * pow4(x))) + 1.0032431) * pow3(x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
38,0.00037624867,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv((pow2(pow2(pow4(pow4(-0.7936968) * pow4(x)))) + 1.0032431) * pow3(x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
39,0.000376225,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv((pow2(pow2(pow4(pow4(-0.7936968) * pow4(x)))) + pow2(1.0032431)) * pow3(x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
40,0.00037343035,"(inv(pow4(pow4(x))) - inv((pow2((pow4(x) + (inv(pow3(pow2(pow2(pow4(x))))) - inv(((pow2(pow2(pow4(pow4(-0.7936968) * pow4(x)))) * x) + 1.0032431) * pow3(x)))) * -0.2927167) + pow2(0.4080878)) + 0.6366521))"
57,0.00036661455,"(inv(pow4(pow4(x))) - inv(pow2(((pow4(x) + pow2(pow4(pow4(0.7873059)))) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - -0.007101226) - inv(inv(pow2(pow2((pow4(x) + pow4(0.30888999 * inv(pow4(pow2(pow2(x)))))) * 0.30903533) + pow4(pow4(0.7873059)))) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
58,0.00034403458,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2(((pow4(x) - 0.16462682) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - (-0.007101226 * x)) - inv(inv(pow2(pow2((pow4(x) + ((inv(pow2(pow2(x))) * 1.5746188) - 0.30903533)) * 0.30903533) + -0.10176022) * x) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
60,0.0003393204,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2(((pow4(x) - 0.16462682) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - (-0.007101226 * x)) - inv(inv(pow2(pow2((pow4(x) + ((inv(pow2(pow2(x) + -0.07437268)) * 1.5746188) - 0.30903533)) * 0.30903533) + -0.10176022) * x) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
61,0.0003140538,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2(((pow4(x) - pow2(pow3(0.30903533))) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - (-0.007101226 * pow4(x))) - inv(inv(pow2(pow3((pow4(x) + (((inv(pow2(x)) - 0.30888999) * 1.5746188) - 0.30903533)) * 0.30903533) + pow4(-0.10176022))) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
63,0.00030436556,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2(((pow4(x) - pow3(0.30903533)) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - (-0.007101226 * pow4(x))) - inv(inv(pow2(pow2((pow4(x) + (((inv(pow2(pow2(x))) - 0.30888999) * 1.5746188) - 0.30903533)) * 0.30903533) + pow4(-0.10176022)) * x) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
65,0.00030431082,"(inv(pow4(pow4(x)) - -0.007101226) - inv(pow2(((pow4(x) - pow3(0.30903533)) + ((inv(pow2(pow2(pow3(pow4(x))))) - pow2(inv(x - (-0.007101226 * pow4(x))) - inv(inv(pow2(pow2((pow4(x) + (((inv(pow2(pow2(x))) - 0.30888999) * 1.5746188) - 0.30903533)) * 0.30903533) + pow4(-0.10176022 * x)) * x) + 0.7873059))) * x)) * 0.30903533) + 0.7873059))"
